Date,Category,Type,Amount
2024-03-30,Office Rent,Revenue,10311.03
2024-11-12,Marketing,Expense,9960.49
2023-01-09,Utilities,Expense,5077.6
2024-02-21,Service Fees,Expense,3998.09
2023-08-11,Office Rent,Expense,4740.31
2024-06-16,Product Sales,Revenue,4527.76
2024-09-12,Product Sales,Revenue,9064.79
2024-03-07,Marketing,Revenue,8323.69
2023-08-13,Utilities,Expense,6017.89
2023-01-30,Office Rent,Expense,3367.16
2024-11-18,Office Rent,Revenue,844.98
2022-12-28,Software Licenses,Revenue,4479.78
2024-01-19,Office Rent,Revenue,6077.89
2023-07-29,Product Sales,Expense,4444.9
2024-04-16,Software Licenses,Expense,1694.0
2024-12-01,Office Rent,Expense,10735.94
2024-01-11,Service Fees,Revenue,6095.97
2024-05-02,Office Rent,Expense,4277.13
2024-09-12,Office Rent,Expense,5100.79
2023-10-02,Software Licenses,Revenue,1546.41
2024-12-03,Office Rent,Expense,5683.95
2024-01-18,Product Sales,Expense,8693.28
2024-07-04,Product Sales,Revenue,1533.19
2024-07-23,Software Licenses,Revenue,4654.98
2023-04-15,Salaries,Revenue,8008.48
2024-07-22,Salaries,Expense,5561.34
2024-01-09,Software Licenses,Expense,9416.66
2023-01-14,Utilities,Expense,7094.85
2024-07-26,Marketing,Revenue,964.73
2023-01-23,Marketing,Revenue,5613.85
2023-08-12,Service Fees,Expense,4345.76
2023-07-17,Service Fees,Revenue,1660.98
2024-05-23,Product Sales,Expense,9485.81
2023-08-11,Office Rent,Revenue,7564.1
2024-12-22,Software Licenses,Expense,10042.53
2024-06-10,Salaries,Expense,617.02
2023-02-04,Software Licenses,Expense,1128.55
2023-01-22,Software Licenses,Revenue,7247.17
2023-04-18,Utilities,Expense,5624.95
2024-03-09,Utilities,Revenue,10274.42
2024-05-07,Software Licenses,Expense,3739.42
2023-04-09,Utilities,Expense,2909.65
2023-01-02,Salaries,Revenue,7064.4
2024-03-16,Marketing,Expense,6619.52
2023-12-22,Product Sales,Revenue,9898.22
2023-07-13,Utilities,Revenue,10074.69
2023-11-03,Product Sales,Revenue,6845.07
2024-04-02,Product Sales,Expense,5928.43
2024-12-18,Marketing,Expense,7807.75
2023-04-18,Salaries,Revenue,5844.11
2023-10-21,Salaries,Revenue,10199.37
2024-02-19,Service Fees,Revenue,7230.73
2024-02-14,Product Sales,Expense,1321.52
2023-03-03,Service Fees,Revenue,10185.22
2023-02-28,Service Fees,Revenue,10770.25
2023-03-01,Software Licenses,Revenue,8995.04
2024-04-09,Office Rent,Revenue,513.17
2024-01-23,Office Rent,Revenue,5150.19
2023-07-01,Salaries,Expense,10299.88
2024-07-15,Salaries,Expense,4646.38
2023-11-14,Product Sales,Revenue,822.02
2024-05-09,Office Rent,Revenue,6916.0
2024-07-01,Product Sales,Expense,3479.84
2023-09-07,Software Licenses,Expense,9617.31
2023-05-14,Product Sales,Revenue,7546.28
2023-06-20,Product Sales,Expense,6360.85
2023-05-22,Utilities,Revenue,775.35
2024-07-16,Office Rent,Revenue,120.65
2023-07-29,Software Licenses,Expense,2532.33
2024-04-26,Software Licenses,Revenue,465.54
2024-04-27,Salaries,Revenue,8753.43
2024-10-01,Service Fees,Expense,4588.15
2023-09-29,Service Fees,Expense,7113.87
2024-04-15,Service Fees,Expense,1008.48
2024-12-01,Utilities,Revenue,5108.93
2023-06-04,Salaries,Revenue,3825.72
2024-03-28,Marketing,Expense,2072.71
2024-04-27,Marketing,Expense,1369.06
2024-05-30,Product Sales,Revenue,4936.15
2023-06-21,Service Fees,Revenue,2233.93
2024-04-23,Product Sales,Revenue,7100.63
2023-09-24,Utilities,Revenue,6311.43
2023-01-25,Office Rent,Expense,7341.83
2023-12-18,Salaries,Revenue,3089.95
2023-03-06,Utilities,Revenue,3196.88
2024-07-02,Office Rent,Expense,71.83
2023-06-28,Product Sales,Expense,6796.16
2024-08-12,Utilities,Revenue,5792.08
2024-04-05,Service Fees,Revenue,3104.08
2024-05-30,Marketing,Revenue,9214.93
2023-06-18,Service Fees,Revenue,3120.56
2024-12-17,Software Licenses,Revenue,8947.06
2024-04-18,Service Fees,Expense,9359.56
2024-07-18,Utilities,Expense,10624.86
2023-04-16,Software Licenses,Revenue,9693.88
2023-11-14,Marketing,Revenue,3730.71
2023-05-01,Marketing,Revenue,4499.65
2023-06-16,Salaries,Revenue,5217.13
2023-07-05,Product Sales,Expense,2751.07
2023-06-09,Utilities,Revenue,7950.5
2023-05-24,Office Rent,Expense,2235.47
2024-03-08,Service Fees,Revenue,9714.86
2023-06-18,Office Rent,Expense,408.12
2024-09-03,Office Rent,Revenue,8563.88
2024-02-04,Salaries,Expense,3336.14
2024-08-16,Salaries,Expense,1481.77
2023-04-22,Salaries,Expense,3515.33
2023-12-12,Salaries,Revenue,6952.7
2024-02-19,Software Licenses,Revenue,6413.93
2024-02-17,Office Rent,Expense,1705.44
2024-12-07,Marketing,Revenue,2948.64
2023-03-10,Office Rent,Revenue,8947.58
2024-09-24,Service Fees,Expense,4680.3
2023-05-16,Software Licenses,Expense,8672.06
2023-12-23,Software Licenses,Revenue,2747.15
2024-04-20,Marketing,Revenue,5429.41
2023-08-12,Product Sales,Revenue,1817.28
2023-06-06,Service Fees,Revenue,8652.92
2024-04-19,Marketing,Revenue,3632.65
2024-05-23,Office Rent,Expense,8125.82
2023-10-19,Service Fees,Expense,5735.73
2023-06-30,Salaries,Revenue,2037.59
2024-02-09,Utilities,Revenue,5823.3
2023-05-16,Product Sales,Revenue,7166.13
2024-08-30,Office Rent,Revenue,7293.83
2023-11-01,Service Fees,Expense,6711.0
2024-02-27,Salaries,Expense,926.59
2024-11-04,Salaries,Expense,1620.47
2024-09-16,Service Fees,Revenue,8857.15
2024-08-24,Utilities,Expense,1808.04
2023-02-26,Software Licenses,Revenue,9380.24
2023-06-09,Utilities,Expense,8608.56
2023-07-10,Office Rent,Revenue,3484.67
2024-04-02,Marketing,Revenue,6554.71
2024-11-30,Marketing,Expense,5715.14
2023-08-09,Utilities,Expense,8404.4
2024-03-04,Service Fees,Expense,8944.72
2023-08-18,Software Licenses,Expense,8807.26
2024-08-06,Service Fees,Revenue,9233.93
2024-03-09,Salaries,Expense,10176.96
2024-03-27,Marketing,Expense,3437.89
2023-02-22,Salaries,Revenue,1608.31
2024-06-05,Software Licenses,Revenue,690.44
2024-04-24,Software Licenses,Revenue,9018.92
2024-07-26,Marketing,Expense,9940.36
2024-11-26,Service Fees,Revenue,5066.66
2024-11-01,Office Rent,Revenue,5225.88
2023-08-27,Product Sales,Expense,10197.98
2024-04-05,Software Licenses,Revenue,10789.55
2023-04-26,Salaries,Expense,7681.68
2024-01-02,Service Fees,Expense,3179.23
2024-01-24,Software Licenses,Expense,2381.52
2024-06-28,Product Sales,Expense,10441.87
2024-06-02,Utilities,Expense,10232.42
2024-10-24,Utilities,Revenue,6841.46
2023-05-09,Software Licenses,Revenue,3817.9
2024-09-07,Product Sales,Revenue,8713.31
2023-01-11,Product Sales,Expense,3182.25
2024-03-12,Service Fees,Expense,8663.6
2023-01-22,Service Fees,Expense,9966.72
2023-11-08,Marketing,Expense,7847.92
2024-09-28,Utilities,Revenue,1585.51
2023-07-23,Marketing,Revenue,9970.42
2023-05-11,Product Sales,Expense,10152.42
2024-01-23,Utilities,Revenue,8786.01
2023-12-27,Marketing,Revenue,5183.69
2023-11-15,Marketing,Expense,5504.38
2024-05-14,Marketing,Revenue,5571.11
2023-03-22,Office Rent,Revenue,2846.13
2023-07-07,Office Rent,Revenue,7981.38
2023-07-22,Service Fees,Revenue,4560.62
2023-09-06,Utilities,Expense,3509.17
2023-02-17,Marketing,Revenue,7369.73
2023-04-06,Software Licenses,Revenue,3868.88
2024-02-22,Utilities,Expense,10236.84
2023-03-21,Service Fees,Expense,10770.92
2024-09-18,Product Sales,Revenue,5847.46
2024-02-13,Office Rent,Expense,2113.4
2023-09-11,Marketing,Expense,3849.85
2024-02-17,Marketing,Revenue,6615.84
2023-01-18,Utilities,Expense,3121.4
2024-04-21,Software Licenses,Revenue,5759.86
2023-05-07,Utilities,Expense,7429.46
2024-03-22,Marketing,Expense,522.75
2024-03-23,Utilities,Revenue,4321.93
2023-01-24,Product Sales,Expense,4435.31
2024-08-24,Utilities,Expense,4225.39
2024-04-09,Software Licenses,Revenue,6381.72
2023-01-03,Software Licenses,Revenue,6590.1
2023-08-09,Utilities,Revenue,714.81
2024-06-14,Office Rent,Expense,1864.01
2024-10-11,Service Fees,Expense,8608.0
2023-06-16,Utilities,Revenue,9073.35
2023-11-26,Software Licenses,Expense,462.36
2023-06-26,Marketing,Revenue,4578.33
2024-06-26,Marketing,Revenue,6148.22
2023-07-21,Utilities,Revenue,8129.19
2023-04-02,Marketing,Expense,2124.59
2024-07-10,Marketing,Expense,3659.96
2024-05-10,Software Licenses,Expense,7888.99
2024-06-23,Product Sales,Expense,8357.42
2024-11-12,Utilities,Revenue,9781.59
2023-06-17,Salaries,Expense,9925.32
2023-12-31,Software Licenses,Revenue,4520.24
2024-09-30,Salaries,Expense,3312.85
2023-09-17,Marketing,Expense,6726.55
2024-06-23,Software Licenses,Revenue,6328.07
2024-01-24,Service Fees,Expense,732.23
2024-03-02,Software Licenses,Revenue,5409.74
2024-02-04,Product Sales,Revenue,9019.81
2024-04-16,Product Sales,Expense,7946.69
2023-09-17,Marketing,Revenue,3542.96
2023-03-20,Utilities,Expense,9749.56
2023-06-06,Product Sales,Revenue,6906.12
2024-11-15,Office Rent,Revenue,8556.61
2024-08-31,Marketing,Revenue,4596.81
2024-06-17,Office Rent,Revenue,616.71
2024-05-13,Salaries,Revenue,9282.47
2023-10-04,Office Rent,Expense,9258.02
2024-01-03,Marketing,Expense,3528.98
2023-01-11,Software Licenses,Expense,3302.06
2024-01-18,Product Sales,Expense,339.72
2023-12-17,Office Rent,Expense,9244.63
2024-04-18,Service Fees,Revenue,7468.8
2023-08-14,Office Rent,Revenue,5368.16
2024-10-08,Office Rent,Revenue,2357.24
2023-09-21,Software Licenses,Expense,4017.52
2024-07-24,Software Licenses,Expense,5889.21
2023-06-09,Office Rent,Expense,7590.38
2023-04-30,Software Licenses,Expense,8253.7
2022-12-30,Utilities,Revenue,5545.57
2023-08-14,Marketing,Revenue,8743.91
2023-08-05,Utilities,Expense,5102.51
2024-04-09,Software Licenses,Revenue,789.44
2023-11-14,Utilities,Expense,8436.85
2024-10-18,Software Licenses,Expense,8636.77
2024-08-06,Salaries,Revenue,2645.3
2023-01-27,Marketing,Expense,6215.34
2023-02-27,Software Licenses,Revenue,6430.87
2024-08-17,Service Fees,Expense,5291.66
2023-02-18,Utilities,Expense,4602.1
2023-09-12,Marketing,Revenue,1727.93
2023-08-20,Software Licenses,Revenue,10397.51
2023-09-24,Software Licenses,Expense,6503.96
2023-04-13,Office Rent,Revenue,4038.0
2024-08-03,Software Licenses,Expense,6229.44
2023-10-27,Software Licenses,Revenue,8018.34
2024-03-06,Salaries,Expense,10203.5
2023-09-26,Office Rent,Revenue,4231.76
2024-11-28,Product Sales,Revenue,1136.46
2024-01-18,Product Sales,Revenue,8803.41
2024-03-17,Marketing,Revenue,8593.31
2024-08-31,Utilities,Revenue,6399.67
2023-10-08,Marketing,Revenue,6144.4
2024-10-20,Software Licenses,Expense,7308.21
2024-06-17,Service Fees,Expense,5274.48
2024-07-29,Office Rent,Revenue,4808.15
2024-11-16,Service Fees,Revenue,2329.04
2023-05-01,Salaries,Revenue,4441.28
2023-01-20,Salaries,Revenue,7129.35
2024-03-14,Service Fees,Expense,1949.74
2023-12-08,Service Fees,Expense,2101.13
2024-11-23,Software Licenses,Expense,5711.13
2024-01-28,Salaries,Revenue,825.63
2024-02-24,Marketing,Expense,5118.26
2023-07-11,Office Rent,Expense,811.93
2023-10-26,Product Sales,Revenue,5600.43
2023-09-17,Utilities,Revenue,6306.82
2023-08-03,Service Fees,Expense,2131.89
2023-03-16,Service Fees,Revenue,4164.46
2023-05-31,Marketing,Expense,1393.1
2023-02-07,Marketing,Revenue,10531.96
2023-09-02,Product Sales,Revenue,8025.02
2023-05-06,Software Licenses,Expense,2333.42
2023-09-09,Service Fees,Revenue,5024.41
2024-01-27,Office Rent,Expense,6756.98
2023-01-01,Salaries,Expense,2953.44
2024-03-22,Service Fees,Expense,6565.94
2023-11-01,Product Sales,Revenue,10334.56
2023-07-30,Office Rent,Revenue,824.23
2024-03-25,Marketing,Revenue,586.99
2023-03-25,Marketing,Expense,855.47
2023-09-01,Salaries,Expense,2277.16
2024-02-25,Software Licenses,Expense,3802.89
2024-02-15,Software Licenses,Expense,9421.83
2023-04-01,Marketing,Revenue,10102.63
2023-02-24,Salaries,Revenue,5852.83
2024-06-06,Marketing,Revenue,7304.49
2023-08-25,Product Sales,Expense,1880.59
2024-05-24,Salaries,Revenue,6408.74
2024-02-06,Software Licenses,Expense,1027.26
2024-07-06,Product Sales,Expense,2395.59
2023-12-02,Office Rent,Expense,1369.84
2023-05-04,Software Licenses,Revenue,590.03
2024-03-23,Office Rent,Revenue,2357.09
2024-04-24,Marketing,Revenue,7159.08
2024-04-02,Utilities,Expense,5195.35
2024-06-06,Service Fees,Revenue,3472.16
2023-02-02,Utilities,Revenue,2270.67
2023-01-12,Software Licenses,Expense,2181.31
2024-08-07,Product Sales,Revenue,2335.6
2024-03-02,Service Fees,Revenue,10351.8
2023-04-17,Utilities,Expense,1513.21
2023-08-06,Salaries,Expense,3225.87
2023-04-12,Salaries,Expense,4356.8
2024-01-17,Product Sales,Revenue,4167.4
2023-12-01,Salaries,Revenue,8445.46
2024-09-16,Software Licenses,Revenue,7967.06
2024-09-09,Salaries,Expense,7754.52
2023-02-04,Service Fees,Expense,5474.03
2023-08-23,Marketing,Expense,2380.3
2024-11-29,Marketing,Revenue,3788.68
2023-06-19,Salaries,Expense,6171.89
2024-02-02,Utilities,Revenue,7114.52
2024-12-01,Product Sales,Revenue,3177.56
2023-10-24,Software Licenses,Expense,8537.4
2023-09-07,Marketing,Expense,8837.63
2024-10-05,Marketing,Revenue,1812.14
2023-07-22,Product Sales,Revenue,6821.55
2024-02-15,Software Licenses,Revenue,10075.03
2022-12-26,Software Licenses,Expense,911.43
2023-05-24,Office Rent,Expense,10149.99
2024-10-17,Service Fees,Expense,8448.0
2024-04-25,Service Fees,Revenue,8743.1
2023-12-15,Product Sales,Expense,1088.0
2023-03-23,Product Sales,Revenue,9858.52
2024-05-16,Service Fees,Expense,1701.74
2024-08-20,Utilities,Revenue,3602.09
2024-12-22,Office Rent,Expense,10552.35
2024-10-11,Software Licenses,Revenue,7953.63
2023-02-03,Service Fees,Revenue,8400.73
2024-01-08,Product Sales,Expense,9740.1
2024-05-03,Software Licenses,Revenue,7080.95
2023-12-29,Product Sales,Revenue,10664.74
2024-01-08,Marketing,Expense,4579.78
2023-05-02,Product Sales,Revenue,8213.1
2024-01-30,Product Sales,Revenue,3337.82
2024-09-30,Software Licenses,Expense,9629.94
2024-06-01,Office Rent,Revenue,4639.07
2024-05-24,Office Rent,Revenue,3132.88
2024-12-17,Office Rent,Revenue,4528.46
2023-12-29,Utilities,Revenue,3459.06
2023-09-03,Service Fees,Expense,4881.52
2023-05-28,Software Licenses,Expense,6892.38
2023-03-19,Service Fees,Expense,8208.23
2023-08-10,Marketing,Revenue,6793.29
2023-05-23,Software Licenses,Expense,4057.91
2023-03-22,Marketing,Revenue,907.14
2023-04-29,Marketing,Revenue,10354.87
2023-02-11,Marketing,Expense,4979.52
2024-12-12,Software Licenses,Revenue,2711.96
2023-11-02,Utilities,Expense,5698.73
2024-08-02,Salaries,Revenue,1402.35
2023-05-27,Product Sales,Revenue,9358.36
2023-04-04,Service Fees,Revenue,2799.48
2024-05-24,Office Rent,Revenue,3800.03
2024-10-01,Service Fees,Revenue,6743.05
2023-04-12,Service Fees,Revenue,3635.54
2024-09-23,Salaries,Expense,4615.13
2024-03-29,Office Rent,Revenue,2716.28
2024-09-16,Service Fees,Expense,7272.83
2023-12-27,Salaries,Revenue,6337.81
2023-06-06,Salaries,Revenue,4638.25
2023-06-11,Service Fees,Expense,778.76
2023-10-30,Office Rent,Expense,4949.97
2023-01-17,Office Rent,Revenue,6594.36
2023-06-05,Service Fees,Expense,7875.73
2024-06-08,Salaries,Expense,9981.84
2024-07-19,Marketing,Revenue,8520.97
2024-08-10,Software Licenses,Expense,4500.63
2023-01-08,Software Licenses,Revenue,1831.72
2024-07-23,Utilities,Expense,7878.72
2024-01-03,Service Fees,Revenue,9435.76
2022-12-31,Software Licenses,Expense,4187.22
2023-01-11,Salaries,Expense,5312.19
2023-12-18,Marketing,Expense,8237.05
2023-07-04,Service Fees,Revenue,6799.52
2023-10-22,Service Fees,Revenue,4715.53
2023-09-19,Utilities,Revenue,6200.96
2024-04-04,Office Rent,Expense,9271.2
2024-11-16,Software Licenses,Revenue,381.13
2023-12-05,Marketing,Expense,3497.62
2024-03-24,Marketing,Expense,2753.44
2023-10-24,Salaries,Revenue,5625.52
2023-08-31,Utilities,Expense,4264.42
2023-05-31,Marketing,Revenue,7581.1
2024-06-15,Service Fees,Expense,2113.57
2023-12-19,Salaries,Expense,7474.04
2023-06-08,Office Rent,Expense,8297.18
2023-12-07,Salaries,Revenue,2985.76
2024-05-04,Service Fees,Expense,1944.99
2023-01-19,Utilities,Revenue,2105.33
2023-02-28,Software Licenses,Revenue,8139.02
2024-06-11,Service Fees,Expense,7870.2
2023-08-27,Salaries,Expense,7866.22
2024-02-23,Utilities,Expense,5655.59
2023-12-25,Salaries,Expense,3797.21
2023-02-18,Office Rent,Expense,5853.98
2023-02-26,Salaries,Revenue,4228.25
2023-01-30,Office Rent,Revenue,4216.56
2024-11-28,Utilities,Expense,8589.19
2024-10-11,Service Fees,Revenue,6895.29
2024-01-03,Office Rent,Revenue,8318.23
2023-01-30,Utilities,Revenue,1996.6
2023-11-22,Service Fees,Revenue,2490.22
2023-02-01,Service Fees,Expense,4445.95
2024-12-01,Utilities,Revenue,726.2
2024-07-15,Service Fees,Revenue,6372.98
2024-02-19,Salaries,Expense,1081.16
2023-05-14,Marketing,Revenue,1970.32
2023-11-16,Salaries,Revenue,1782.16
2024-06-13,Product Sales,Revenue,2939.14
2024-01-31,Office Rent,Revenue,2824.83
2024-11-06,Salaries,Revenue,2765.62
2023-12-13,Marketing,Expense,2926.25
2024-02-06,Utilities,Revenue,3747.82
2024-03-10,Salaries,Expense,1515.51
2024-02-18,Marketing,Revenue,8198.41
2023-09-26,Office Rent,Revenue,10372.58
2024-05-03,Office Rent,Expense,7902.7
2023-03-03,Marketing,Expense,8010.66
2024-07-13,Product Sales,Expense,10061.15
2024-11-15,Software Licenses,Revenue,9352.73
2023-11-21,Product Sales,Expense,6661.06
2023-05-11,Product Sales,Expense,621.46
2024-05-23,Product Sales,Expense,5831.39
2024-05-28,Product Sales,Revenue,2363.57
2023-12-29,Utilities,Revenue,8240.96
2023-08-29,Product Sales,Revenue,967.46
2024-09-03,Marketing,Revenue,1796.08
2024-06-11,Software Licenses,Expense,10273.05
2023-04-18,Software Licenses,Expense,8126.15
2024-07-07,Utilities,Revenue,4194.28
2023-06-25,Marketing,Revenue,3605.52
2023-06-25,Product Sales,Expense,6057.89
2023-09-26,Marketing,Expense,2209.91
2024-12-10,Product Sales,Expense,9303.51
2024-03-03,Utilities,Revenue,8969.53
2023-08-16,Software Licenses,Revenue,4458.1
2023-03-14,Salaries,Expense,1416.16
2023-06-29,Office Rent,Revenue,487.41
2024-07-31,Office Rent,Revenue,8020.84
2024-09-08,Software Licenses,Expense,798.51
2023-08-06,Office Rent,Revenue,4776.41
2024-07-01,Salaries,Expense,4114.73
2023-03-29,Product Sales,Revenue,9701.35
2024-04-28,Product Sales,Revenue,1635.72
2024-10-19,Service Fees,Expense,7505.7
2024-08-13,Software Licenses,Expense,3342.12
2024-04-28,Office Rent,Expense,8994.82
2023-08-25,Utilities,Revenue,3788.88
2023-05-03,Product Sales,Revenue,2004.2
2023-07-20,Office Rent,Revenue,9688.09
2024-08-17,Service Fees,Revenue,2481.53
2023-08-08,Utilities,Revenue,679.62
2023-11-11,Product Sales,Expense,9042.79
2024-10-14,Product Sales,Revenue,1428.09
2023-01-22,Salaries,Revenue,4355.32
2023-09-22,Utilities,Revenue,5541.62
2024-03-10,Utilities,Expense,5853.34
2024-11-04,Utilities,Expense,991.97
2024-05-16,Marketing,Expense,7998.93
2023-01-18,Office Rent,Revenue,9216.5
2023-10-30,Utilities,Expense,2065.77
2023-01-02,Marketing,Revenue,9316.8
2024-10-05,Software Licenses,Revenue,7691.99
2024-12-07,Utilities,Expense,8749.91
2024-06-04,Service Fees,Expense,10357.18
2024-10-23,Salaries,Expense,9562.36
2023-09-29,Marketing,Expense,4760.39
2023-02-05,Marketing,Revenue,8069.13
2023-01-30,Software Licenses,Revenue,7428.75
2023-08-27,Utilities,Revenue,8318.57
2023-11-12,Software Licenses,Revenue,2389.14
2024-01-16,Service Fees,Revenue,8402.79
2023-06-04,Salaries,Expense,7814.23
2024-03-25,Product Sales,Expense,3560.32
2023-06-29,Product Sales,Expense,295.9
2023-03-16,Office Rent,Expense,9500.53
2023-04-07,Service Fees,Expense,5880.0
2023-09-03,Marketing,Expense,2840.74
2023-12-24,Software Licenses,Expense,9004.04
2023-05-12,Software Licenses,Expense,5072.26
2023-05-17,Software Licenses,Expense,7588.93
2024-04-09,Salaries,Expense,9035.87
2024-05-03,Product Sales,Expense,8575.38
2023-01-11,Marketing,Revenue,10575.78
2024-05-19,Office Rent,Expense,6486.15
2024-03-22,Utilities,Revenue,9337.48
2023-02-17,Utilities,Revenue,117.87
2024-02-12,Product Sales,Expense,9768.31
2024-09-14,Salaries,Expense,2014.63
2023-10-22,Product Sales,Expense,4365.22
2023-05-15,Product Sales,Expense,10128.16
2023-08-28,Office Rent,Expense,2213.47
2023-09-02,Office Rent,Expense,2691.71
2023-11-16,Utilities,Expense,8154.43
2023-08-16,Marketing,Revenue,1535.5
2024-07-06,Product Sales,Expense,9948.41
2023-03-04,Product Sales,Revenue,7504.48
2023-10-20,Salaries,Expense,989.14
2024-06-28,Service Fees,Revenue,5180.79
2023-02-07,Marketing,Expense,5288.73
2023-09-04,Service Fees,Expense,5775.45
2024-09-09,Service Fees,Expense,6323.18
2023-09-17,Marketing,Revenue,6944.74
2023-05-16,Salaries,Revenue,4610.78
2024-07-22,Software Licenses,Revenue,1306.3
2023-03-12,Utilities,Revenue,2614.62
2024-08-14,Salaries,Expense,8762.86
2023-02-01,Utilities,Revenue,5817.2
2023-06-30,Product Sales,Expense,951.78
2024-05-18,Marketing,Expense,8506.77
2023-09-05,Utilities,Expense,1601.84
2024-03-17,Product Sales,Revenue,6525.93
2023-05-25,Service Fees,Revenue,2055.38
2023-08-09,Office Rent,Revenue,6580.67
2024-01-15,Office Rent,Revenue,6297.02
2024-06-03,Salaries,Revenue,3492.43
2023-12-13,Service Fees,Revenue,6249.93
2023-07-03,Product Sales,Revenue,10554.61
2023-04-27,Software Licenses,Revenue,597.55
2023-12-28,Utilities,Revenue,6595.55
2024-06-12,Service Fees,Expense,4138.82
2024-03-01,Office Rent,Expense,3485.64
2024-03-27,Marketing,Expense,2273.19
2024-09-18,Marketing,Expense,2188.44
2023-06-12,Service Fees,Expense,7021.02
2023-03-26,Marketing,Revenue,4071.53
2023-03-09,Service Fees,Expense,8526.07
2024-11-20,Salaries,Expense,2884.3
2024-08-03,Product Sales,Revenue,603.44
2024-01-28,Marketing,Revenue,3837.4
2024-01-12,Utilities,Expense,8180.26
2024-01-10,Product Sales,Revenue,7898.15
2024-12-20,Software Licenses,Revenue,5048.66
2023-07-30,Service Fees,Expense,1888.91
2024-10-26,Service Fees,Expense,2304.4
2023-10-21,Marketing,Revenue,6448.14
2024-12-23,Utilities,Expense,4079.81
2023-04-16,Service Fees,Revenue,9953.76
2024-06-11,Product Sales,Revenue,6108.56
2023-06-23,Software Licenses,Revenue,6525.7
2024-03-13,Software Licenses,Expense,896.41
2023-04-16,Salaries,Expense,4573.98
2023-11-26,Salaries,Expense,4539.04
2024-09-26,Marketing,Expense,2531.02
2024-02-21,Software Licenses,Expense,1892.4
2023-06-06,Utilities,Expense,6959.34
2023-01-29,Marketing,Revenue,3818.96
2024-01-29,Utilities,Revenue,8121.58
2023-02-26,Product Sales,Revenue,4030.48
2023-07-04,Salaries,Revenue,1675.78
2024-07-31,Software Licenses,Expense,4302.08
2024-06-01,Software Licenses,Expense,5571.92
2023-06-27,Software Licenses,Expense,2563.72
2024-10-19,Software Licenses,Revenue,10402.75
2023-04-20,Software Licenses,Revenue,8610.3
2024-06-10,Salaries,Revenue,10080.12
2024-04-29,Office Rent,Expense,5144.09
2024-06-22,Salaries,Expense,1543.38
2023-10-31,Utilities,Revenue,2468.15
2024-08-11,Office Rent,Expense,3619.04
2023-02-08,Office Rent,Revenue,6000.16
2023-05-06,Software Licenses,Expense,1893.78
2024-09-02,Utilities,Expense,5868.76
2024-03-04,Marketing,Revenue,1713.16
2024-11-19,Product Sales,Expense,8629.6
2024-07-05,Office Rent,Expense,7224.92
2023-11-20,Service Fees,Revenue,8420.77
2024-03-17,Utilities,Expense,3528.36
2023-09-05,Salaries,Expense,6672.98
2024-11-22,Office Rent,Revenue,9012.44
2023-03-29,Utilities,Revenue,3455.41
2024-08-30,Marketing,Revenue,2488.69
2024-06-24,Utilities,Revenue,6458.72
2024-04-12,Software Licenses,Expense,2278.48
2024-09-11,Office Rent,Revenue,6990.08
2023-10-31,Product Sales,Expense,8276.21
2024-10-21,Utilities,Revenue,4480.17
2024-08-26,Salaries,Revenue,4985.69
2024-10-26,Office Rent,Revenue,7707.25
2024-07-07,Utilities,Expense,8977.94
2024-12-20,Software Licenses,Expense,4205.55
2024-04-08,Software Licenses,Revenue,4934.71
2023-01-19,Office Rent,Revenue,1967.68
2023-03-14,Office Rent,Revenue,6753.37
2023-07-30,Software Licenses,Expense,6506.59
2023-07-19,Salaries,Revenue,3417.61
2023-02-25,Office Rent,Expense,5162.03
2023-04-26,Service Fees,Revenue,7100.94
2024-11-30,Product Sales,Revenue,3414.32
2024-07-01,Utilities,Expense,9972.76
2023-05-26,Product Sales,Expense,814.84
2023-01-01,Product Sales,Revenue,2222.48
2023-06-08,Utilities,Revenue,9369.51
2024-02-25,Salaries,Expense,8870.35
2023-07-01,Marketing,Revenue,7563.47
2024-07-02,Utilities,Expense,9955.43
2024-07-31,Service Fees,Expense,10121.95
2024-08-17,Utilities,Revenue,1284.09
2023-05-19,Service Fees,Revenue,6245.16
2023-06-02,Product Sales,Expense,3665.84
2024-01-20,Marketing,Expense,4017.66
2024-08-23,Utilities,Revenue,515.51
2024-10-29,Product Sales,Expense,1444.27
2023-02-07,Office Rent,Expense,6202.11
2024-05-20,Product Sales,Expense,4080.1
2024-06-04,Service Fees,Expense,8208.85
2024-08-26,Office Rent,Expense,7158.55
2024-04-20,Office Rent,Revenue,6981.94
2023-11-25,Utilities,Revenue,3101.02
2023-07-26,Service Fees,Revenue,2543.24
2024-02-19,Salaries,Revenue,8099.75
2024-09-06,Software Licenses,Revenue,8888.31
2023-07-15,Software Licenses,Revenue,9288.03
2024-07-31,Product Sales,Expense,4768.49
2024-07-11,Service Fees,Expense,3429.0
2024-01-02,Utilities,Expense,2205.7
2024-01-19,Office Rent,Expense,9646.65
2024-04-16,Utilities,Revenue,7050.16
2023-10-06,Office Rent,Expense,8478.06
2024-11-04,Software Licenses,Expense,7820.46
2024-09-29,Utilities,Revenue,6229.75
2024-06-21,Marketing,Revenue,8172.53
2023-01-12,Utilities,Revenue,5561.12
2024-06-20,Marketing,Expense,3548.26
2023-10-02,Product Sales,Expense,2838.08
2023-09-22,Product Sales,Revenue,4416.81
2024-08-15,Salaries,Expense,921.67
